brand,color,condition,body_type,wheel_config,transmission,mileage,carfax_link,dealer_address,cylinders,vehicle_age,list_price
japanese,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,113000,Available,Toronto,4,11,5999.0
german,Blue,Used,Sedan,Front-wheel drive (FWD),Automatic,120017,Available,Toronto,4,7,7999.0
german,White,Used,Sedan,Rear-wheel drive (RWD),Automatic,40760,Available,Toronto,6,4,46999.0
american,White,Used,Sedan,Unknown,Automatic,76099,None,Toronto,4,7,8888.0
japanese,other,New,"Minivan, Van",Front-wheel drive (FWD),Automatic,50,New_Car,other,4,2,31313.0
german,Blue,Used,Sedan,All-wheel drive (AWD),Automatic,118000,Available,other_GTA,6,8,23998.0
german,Black,Used,Sedan,All-wheel drive (AWD),Automatic,14650,Available,Toronto,6,3,49890.0
italian,White,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,50275,Available,other,4,4,18877.0
american,Black,Used,Coupe (2 door),Unknown,Automatic,43000,None,Toronto,8,7,17000.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,133221,Available,other,4,6,13799.0
german,other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,79268,Available,Toronto,4,5,17500.0
german,Grey,Used,Sedan,Unknown,Automatic,220000,None,other_GTA,8,13,12000.0
japanese,other,Used,Sedan,Front-wheel drive (FWD),Manual,79679,Available,Toronto,4,5,10500.0
japanese,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,99000,Available,Toronto,6,5,27950.0
